"Label","ScreenValue","DNPValue","PassFail"
"","","",""
"CurrentPoleASwitch1","0","4","False"
"CurrentPoleASwitch1","0","141","False"
"CurrentPoleASwitch1","0","141","False"
"CurrentPoleASwitch1","0","170","False"
"CurrentPoleBSwitch1","0","11","False"
"CurrentPoleBSwitch1","0","141","False"
"CurrentPoleBSwitch1","0","141","False"
"CurrentPoleBSwitch1","0","170","False"
"CurrentPoleASwitch1","0","4","False"
"CurrentPoleBSwitch1","0","11","False"
"CurrentPoleCSwitch1","0","7","False"
"CurrentPoleASwitch1","0","141","False"
"CurrentPoleBSwitch1","0","141","False"
"CurrentPoleCSwitch1","0","142","False"
"CurrentPoleASwitch1","0","141","False"
"CurrentPoleBSwitch1","0","141","False"
"CurrentPoleCSwitch1","0","142","False"
"CurrentPoleASwitch1","0","170","False"
"CurrentPoleBSwitch1","0","170","False"
"CurrentPoleCSwitch1","0","170","False"
"NeutralCurrentSwitch1","0","2","False"
"NeutralCurrentSwitch1","0","0","True"
"CurrentPoleASwitch2","0","4","False"
"CurrentPoleASwitch2","0","141","False"
"CurrentPoleASwitch2","0","141","False"
"CurrentPoleASwitch2","0","170","False"
"CurrentPoleBSwitch2","0","10","False"
"CurrentPoleBSwitch2","0","141","False"
"CurrentPoleBSwitch2","0","141","False"
"CurrentPoleBSwitch2","0","170","False"
"CurrentPoleASwitch2","0","4","False"
"CurrentPoleBSwitch2","0","10","False"
"CurrentPoleCSwitch2","0","7","False"
"CurrentPoleASwitch2","0","141","False"
"CurrentPoleBSwitch2","0","141","False"
"CurrentPoleCSwitch2","0","142","False"
"CurrentPoleASwitch2","0","141","False"
"CurrentPoleBSwitch2","0","141","False"
"CurrentPoleCSwitch2","0","142","False"
"CurrentPoleASwitch2","0","170","False"
"CurrentPoleBSwitch2","0","170","False"
"CurrentPoleCSwitch2","0","170","False"
"NeutralCurrentSwitch2","0","1","False"
"NeutralCurrentSwitch2","0","12","False"
"VoltagePoleASwitch1","0","0","True"
"VoltagePoleASwitch1","0","1009","False"
"VoltagePoleASwitch1","0","1009","False"
"VoltagePoleASwitch1","0","1200","False"
"VoltagePoleBSwitch1","0","0","True"
"VoltagePoleBSwitch1","0","1009","False"
"VoltagePoleBSwitch1","0","1009","False"
"VoltagePoleBSwitch1","0","1200","False"
"VoltagePoleCSwitch1","0","0","True"
"VoltagePoleCSwitch1","0","1013","False"
"VoltagePoleCSwitch1","0","1013","False"
"VoltagePoleCSwitch1","0","1200","False"
"VoltagePoleASwitch2","0","1","False"
"VoltagePoleASwitch2","0","1007","False"
"VoltagePoleASwitch2","0","1007","False"
"VoltagePoleASwitch2","0","1200","False"
"VoltagePoleBSwitch2","0","5","False"
"VoltagePoleBSwitch2","0","1009","False"
"VoltagePoleBSwitch2","0","1009","False"
"VoltagePoleBSwitch2","0","1201","False"
"VoltagePoleCSwitch2","0","3","False"
"VoltagePoleCSwitch2","0","1012","False"
"VoltagePoleCSwitch2","0","1012","False"
"VoltagePoleCSwitch2","0","1200","False"
"PhaseAnglePoleASwitch1","0.000","-122","False"
"PhaseAnglePoleBSwitch1","0.000","-122","False"
"PhaseAnglePoleCSwitch1","0.000","-341","False"
"PhaseAnglePoleASwitch1","0.000","0","False"
"PhaseAnglePoleBSwitch1","0.000","-301","False"
"PhaseAnglePoleCSwitch1","0.000","0","False"
"PhaseAnglePoleBSwitch1","0.000","0","False"
"PhaseAnglePoleASwitch1","0.000","0","False"
"PhaseAnglePoleBSwitch1","0.000","0","False"
"PhaseAnglePoleCSwitch1","0.000","0","False"
"PhaseAnglePoleASwitch1","0.000","-44","False"
"PhaseAnglePoleBSwitch1","0.000","-44","False"
"PhaseAnglePoleCSwitch1","0.000","-44","False"
"PhaseAnglePoleBSwitch1","0.000","-122","False"
"PhaseAnglePoleBSwitch1","0.000","-301","False"
"PhaseAnglePoleBSwitch1","0.000","0","False"
"PhaseAnglePoleBSwitch1","0.000","0","False"
"PhaseAnglePoleBSwitch1","0.000","-44","False"
"PhaseAnglePoleCSwitch1","0.000","-341","False"
"PhaseAnglePoleCSwitch1","0.000","0","False"
"PhaseAnglePoleCSwitch1","0.000","0","False"
"PhaseAnglePoleCSwitch1","0.000","-44","False"
"PhaseAnglePoleASwitch2","0.000","-341","False"
"PhaseAnglePoleBSwitch2","0.000","-341","False"
"PhaseAnglePoleCSwitch2","0.000","-281","False"
"PhaseAnglePoleASwitch2","0.000","0","False"
"PhaseAnglePoleBSwitch2","0.000","-301","False"
"PhaseAnglePoleBSwitch2","0.000","0","False"
"PhaseAnglePoleCSwitch2","0.000","0","False"
"PhaseAnglePoleASwitch2","0.000","0","False"
"PhaseAnglePoleBSwitch2","0.000","0","False"
"PhaseAnglePoleCSwitch2","0.000","0","False"
"PhaseAnglePoleASwitch2","0.000","-44","False"
"PhaseAnglePoleBSwitch2","0.000","-83","False"
"PhaseAnglePoleCSwitch2","0.000","-44","False"
"PhaseAnglePoleBSwitch2","0.000","-341","False"
"PhaseAnglePoleBSwitch2","0.000","-301","False"
"PhaseAnglePoleBSwitch2","0.000","0","False"
"PhaseAnglePoleBSwitch2","0.000","0","False"
"PhaseAnglePoleBSwitch2","0.000","-83","False"
"PhaseAnglePoleCSwitch2","0.000","-281","False"
"PhaseAnglePoleCSwitch2","0.000","0","False"
"PhaseAnglePoleCSwitch2","0.000","0","False"
"PhaseAnglePoleCSwitch2","0.000","-44","False"
"CurrentPoleASwitch1","1.000","4","False"
"CurrentPoleASwitch1","1.000","141","False"
"CurrentPoleASwitch1","1.000","141","False"
"CurrentPoleASwitch1","1.000","170","False"
"CurrentPoleBSwitch1","1.000","11","False"
"CurrentPoleBSwitch1","1.000","141","False"
"CurrentPoleBSwitch1","1.000","141","False"
"CurrentPoleBSwitch1","1.000","170","False"
"CurrentPoleASwitch1","1.000","4","False"
"CurrentPoleBSwitch1","1.000","11","False"
"CurrentPoleCSwitch1","1.000","7","False"
"CurrentPoleASwitch1","1.000","141","False"
"CurrentPoleBSwitch1","1.000","141","False"
"CurrentPoleCSwitch1","1.000","142","False"
"CurrentPoleASwitch1","1.000","141","False"
"CurrentPoleBSwitch1","1.000","141","False"
"CurrentPoleCSwitch1","1.000","142","False"
"CurrentPoleASwitch1","1.000","170","False"
"CurrentPoleBSwitch1","1.000","170","False"
"CurrentPoleCSwitch1","1.000","170","False"
"CurrentPoleASwitch2","1.000","4","False"
"CurrentPoleASwitch2","1.000","141","False"
"CurrentPoleASwitch2","1.000","141","False"
"CurrentPoleASwitch2","1.000","170","False"
"CurrentPoleBSwitch2","1.000","10","False"
"CurrentPoleBSwitch2","1.000","141","False"
"CurrentPoleBSwitch2","1.000","141","False"
"CurrentPoleBSwitch2","1.000","170","False"
"CurrentPoleASwitch2","1.000","4","False"
"CurrentPoleBSwitch2","1.000","10","False"
"CurrentPoleCSwitch2","1.000","7","False"
"CurrentPoleASwitch2","1.000","141","False"
"CurrentPoleBSwitch2","1.000","141","False"
"CurrentPoleCSwitch2","1.000","142","False"
"CurrentPoleASwitch2","1.000","141","False"
"CurrentPoleBSwitch2","1.000","141","False"
"CurrentPoleCSwitch2","1.000","142","False"
"CurrentPoleASwitch2","1.000","170","False"
"CurrentPoleBSwitch2","1.000","170","False"
"CurrentPoleCSwitch2","1.000","170","False"
"KVARsPoleASwitch1","0","0","True"
"KVARsPoleBSwitch1","0","0","True"
"KVARsPoleCSwitch1","0","0","True"
"KVARsPoleASwitch1","0","0","True"
"KVARsPoleBSwitch1","0","0","True"
"KVARsPoleCSwitch1","0","0","True"
"KVARsPoleASwitch1","0","-112","False"
"KVARsPoleBSwitch1","0","-112","False"
"KVARsPoleCSwitch1","0","-112","False"
"KVARsPoleBSwitch1","0","0","True"
"KVARsPoleBSwitch1","0","0","True"
"KVARsPoleBSwitch1","0","-112","False"
"KVARsPoleCSwitch1","0","0","True"
"KVARsPoleCSwitch1","0","0","True"
"KVARsPoleCSwitch1","0","-112","False"
"KVARsPoleASwitch2","0","0","True"
"KVARsPoleBSwitch2","0","0","True"
"KVARsPoleCSwitch2","0","0","True"
"KVARsPoleASwitch2","0","0","True"
"KVARsPoleBSwitch2","0","0","True"
"KVARsPoleCSwitch2","0","0","True"
"KVARsPoleASwitch2","0","-112","False"
"KVARsPoleBSwitch2","0","-212","False"
"KVARsPoleCSwitch2","0","-112","False"
"KVARsPoleBSwitch2","0","0","True"
"KVARsPoleBSwitch2","0","0","True"
"KVARsPoleBSwitch2","0","-212","False"
"KVARsPoleCSwitch2","0","0","True"
"KVARsPoleCSwitch2","0","0","True"
"KVARsPoleCSwitch2","0","-112","False"
